id,burst_time,priority,arrival_time,turnaround_time,cpu_time_acquired,waiting_time
1,14,18,0,1241,14,1227
2,14,-14,0,992,14,978
3,16,-16,0,961,16,945
4,11,-9,0,1036,11,1025
5,14,0,0,1090,14,1076
6,17,12,0,1194,17,1177
7,6,2,0,506,6,500
8,18,-10,0,1012,18,994
9,20,14,0,1213,20,1193
10,7,9,0,717,7,710
11,15,10,0,1183,15,1168
12,19,-10,0,1021,19,1002
13,18,-9,0,1044,18,1026
14,18,5,0,1136,18,1118
15,14,11,0,1187,14,1173
16,11,18,0,1242,11,1231
17,15,-3,0,1065,15,1050
18,19,-20,0,922,19,903
19,9,-4,0,344,9,335
20,16,6,0,1147,16,1131
21,13,-12,0,997,13,984
22,19,6,0,1156,19,1137
23,12,-7,0,1050,12,1038
24,8,-14,0,150,8,142
25,14,-8,0,1048,14,1034
26,20,-2,0,1075,20,1055
27,13,17,0,1234,13,1221
28,7,-12,0,194,7,187
29,7,-17,0,62,7,55
30,7,10,0,734,7,727
31,8,-3,0,387,8,379
32,18,12,0,1202,18,1184
33,10,18,0,893,10,883
34,20,-15,0,979,20,959
35,13,7,0,1163,13,1150
36,14,5,0,1140,14,1126
37,20,14,0,1223,20,1203
38,15,-20,0,927,15,912
39,9,-9,0,298,9,289
40,11,6,0,1157,11,1146
41,7,-9,0,305,7,298
42,13,19,0,1252,13,1239
43,10,10,0,744,10,734
44,11,5,0,1141,11,1130
45,5,-4,0,349,5,344
46,19,-10,0,1030,19,1011
47,13,-1,0,1086,13,1073
48,12,-2,0,1077,12,1065
49,10,0,0,470,10,460
50,16,-2,0,1083,16,1067
51,12,-14,0,994,12,982
52,7,-2,0,424,7,417
53,10,13,0,794,10,784
54,13,-10,0,1033,13,1020
55,5,-8,0,325,5,320
56,6,16,0,833,6,827
57,9,-14,0,169,9,160
58,18,-16,0,969,18,951
59,20,-20,0,937,20,917
60,17,18,0,1249,17,1232
61,11,1,0,1091,11,1080
62,8,-19,0,38,8,30
63,16,8,0,1177,16,1161
64,13,7,0,1166,13,1153
65,16,-11,0,1004,16,988
66,15,7,0,1171,15,1156
67,18,-4,0,1058,18,1040
68,5,15,0,819,5,814
69,13,6,0,1160,13,1147
70,14,2,0,1108,14,1094
71,20,1,0,1101,20,1081
72,13,-18,0,940,13,927
73,5,7,0,684,5,679
74,5,-9,0,310,5,305
75,11,12,0,1203,11,1192
76,10,6,0,649,10,639
77,17,2,0,1115,17,1098
78,13,4,0,1128,13,1115
79,5,-10,0,259,5,254
80,19,-17,0,949,19,930
81,13,17,0,1237,13,1224
82,14,-15,0,983,14,969
83,10,5,0,599,10,589
84,8,-14,0,177,8,169
85,7,-1,0,450,7,443
86,7,-19,0,45,7,38
87,15,-15,0,988,15,973
88,5,3,0,541,5,536
89,9,-2,0,433,9,424
90,18,16,0,1231,18,1213
91,13,1,0,1104,13,1091
92,20,2,0,1125,20,1105
93,11,8,0,1178,11,1167
94,12,-4,0,1060,12,1048
95,11,-12,0,998,11,987
96,8,4,0,559,8,551
97,16,-17,0,955,16,939
98,6,8,0,710,6,704
99,8,15,0,827,8,819
100,12,-10,0,1035,12,1023
